SOI_CD,SOI_NM,ITT_CD,ITT_NM,SOI_NM2, SOI_CD2,,,,
1,특수은행,2,산업은행,정책금융기관,0,,,정책금융기관,0
1,특수은행,3,농협은행,제1금융권,1,,,제1금융권,1
1,특수은행,4,기업은행,정책금융기관,0,,,제2금융권,2
1,특수은행,8,수협은행,제1금융권,1,,,대부업 등,3
1,특수은행,9,수출입은행,정책금융기관,0,,,,
3,시중은행,7,국민은행,제1금융권,1,,,,
3,시중은행,17,우리은행,제1금융권,1,,,,
3,시중은행,18,ＳＣ제일은행,제1금융권,1,,,,
3,시중은행,21,신한은행,제1금융권,1,,,,
3,시중은행,22,한국씨티은행,제1금융권,1,,,,
3,시중은행,26,KEB하나은행,제1금융권,1,,,,
5,지방은행,31,대구은행,제1금융권,1,,,,
5,지방은행,32,부산은행,제1금융권,1,,,,
5,지방은행,34,광주은행,제1금융권,1,,,,
5,지방은행,35,제주은행,제1금융권,1,,,,
5,지방은행,37,전북은행,제1금융권,1,,,,
5,지방은행,39,경남은행,제1금융권,1,,,,
7,외국은행,53,Ｂ．Ｏ．Ａ은행,제1금융권,1,,,,
7,외국은행,54,엠유에프지은행,제1금융권,1,,,,
7,외국은행,57,미즈호코퍼레이트은행,제1금융권,1,,,,
7,외국은행,64,비엔피파리바은행,제1금융권,1,,,,
7,외국은행,66,Ｉ．Ｎ．Ｇ은행,제1금융권,1,,,,
7,외국은행,68,인도해외은행,제1금융권,1,,,,
7,외국은행,71,호주뉴질랜드은행,제1금융권,1,,,,
7,외국은행,73,노바스코셔은행,제1금융권,1,,,,
7,외국은행,74,BNY MELLON,제1금융권,1,,,,
7,외국은행,76,크레디아그리콜은행,제1금융권,1,,,,
7,외국은행,77,도이치은행,제1금융권,1,,,,
7,외국은행,80,제이피모간체이스은행,제1금융권,1,,,,
7,외국은행,82,알비에스피엘씨은행,제1금융권,1,,,,
7,외국은행,83,유바프은행,제1금융권,1,,,,
7,외국은행,87,ＤＢＳ은행,제1금융권,1,,,,
7,외국은행,88,미쓰이스미토모은행,제1금융권,1,,,,
7,외국은행,95,소시에테제네랄은행,제1금융권,1,,,,
7,외국은행,100,홍콩상하이은행,제1금융권,1,,,,
7,외국은행,101,대화은행,제1금융권,1,,,,
7,외국은행,105,야마구찌은행,제1금융권,1,,,,
7,외국은행,107,파키스탄국립은행,제1금융권,1,,,,
7,외국은행,121,ＯＣＢＣ은행,제1금융권,1,,,,
7,외국은행,125,중국（서울）은행,제1금융권,1,,,,
7,외국은행,128,중국공상은행,제1금융권,1,,,,
7,외국은행,129,Ｃｒｅｄｉｔ　Ｓｕｉｓｓｅ은행,제1금융권,1,,,,
7,외국은행,130,멜라트（서울）은행,제1금융권,1,,,,
7,외국은행,131,바클레이즈（서울）은행,제1금융권,1,,,,
7,외국은행,132,중국건설은행,제1금융권,1,,,,
7,외국은행,133,웰스파고은행,제1금융권,1,,,,
7,외국은행,134,교통은행,제1금융권,1,,,,
7,외국은행,135,바덴뷔르템베르크주립은행,제1금융권,1,,,,
7,외국은행,140,맥쿼리은행,제1금융권,1,,,,
7,외국은행,141,빌바오비스까야아르헨따리아,제1금융권,1,,,,
7,외국은행,142,중국농업은행,제1금융권,1,,,,
7,외국은행,144,중국광대은행,제1금융권,1,,,,
7,외국은행,146,인도네시아느가라은행,제1금융권,1,,,,
11,손보,201,메리츠화재,제2금융권,2,,,,
11,손보,202,한화손해보험,제2금융권,2,,,,
11,손보,203,롯데손해보험,제2금융권,2,,,,
11,손보,204,그린손해보험,제2금융권,2,,,,
11,손보,205,흥국화재해상보험,제2금융권,2,,,,
11,손보,208,삼성화재,제2금융권,2,,,,
11,손보,209,현대해상,제2금융권,2,,,,
11,손보,210,케이비손해보험　　　　　　　　,제2금융권,2,,,,
11,손보,214,농협손해보험,제2금융권,2,,,,
11,손보,215,ＭＧ손해보험,제2금융권,2,,,,
11,손보,217,더케이손해보험,제2금융권,2,,,,
11,손보,241,DB손해보험,제2금융권,2,,,,
13,생보,221,한화생명,제2금융권,2,,,,
13,생보,222,에이비엘생명보험,제2금융권,2,,,,
13,생보,223,삼성생명,제2금융권,2,,,,
13,생보,224,흥국생명,제2금융권,2,,,,
13,생보,228,디지비생명　　　　　　　　　　,제2금융권,2,,,,
13,생보,231,교보생명,제2금융권,2,,,,
13,생보,234,신한생명,제2금융권,2,,,,
13,생보,235,DB생명,제2금융권,2,,,,
13,생보,236,동양생명,제2금융권,2,,,,
13,생보,237,메트라이프생명,제2금융권,2,,,,
13,생보,239,ＫＤＢ생명,제2금융권,2,,,,
13,생보,240,미래에셋생명,제2금융권,2,,,,
13,생보,245,ＬＩＮＡ생명,제2금융권,2,,,,
13,생보,248,오렌지라이프생명보험,제2금융권,2,,,,
13,생보,265,하나생명보험,제2금융권,2,,,,
13,생보,267,푸본현대생명,제2금융권,2,,,,
13,생보,268,ＫＢ생명보험,제2금융권,2,,,,
13,생보,269,비엔피파리바카디프생명,제2금융권,2,,,,
13,생보,270,IBK연금보험,제2금융권,2,,,,
13,생보,271,농협생명보험,제2금융권,2,,,,
15,보증보험,251,서울보증보험,제2금융권,2,,,,
15,보증보험,253,(구)한국해양보증보험,제2금융권,2,,,,
21,종금,509,우리종합금융,제2금융권,2,,,,
31,카드,331,국민신용카드,제2금융권,2,,,,
