세세분류명,KSIC,업종구분,EFIS
곡물 및 기타 식량 작물 재배업,01110,농림어업,1
채소작물 재배업,01121,농림어업,1
화훼작물 재배업,01122,농림어업,1
종자 및 묘목 생산업,01123,농림어업,1
과실작물 재배업,01131,농림어업,1
음료용 및 향신용 작물 재배업,01132,농림어업,1
기타 작물 재배업,01140,농림어업,1
콩나물 재배업,01151,농림어업,1
"채소, 화훼 및 과실작물 시설 재배업",01152,농림어업,1
기타 시설작물 재배업,01159,농림어업,1
젖소 사육업,01211,농림어업,1
육우 사육업,01212,농림어업,1
양돈업,01220,농림어업,1
양계업,01231,농림어업,1
기타 가금류 및 조류 사육업,01239,농림어업,1
말 및 양 사육업,01291,농림어업,1
그 외 기타 축산업,01299,농림어업,1
작물재배 및 축산 복합농업,01300,농림어업,1
작물재배 지원 서비스업,01411,농림어업,1
"농산물 건조, 선별 및 기타 수확 후 서비스업",01412,농림어업,1
축산 관련 서비스업,01420,농림어업,1
수렵 및 관련 서비스업,01500,농림어업,1
임업용 종묘 생산업,02011,농림어업,1
육림업,02012,농림어업,1
벌목업,02020,농림어업,1
임산물 채취업,02030,농림어업,1
임업 관련 서비스업,02040,농림어업,1
원양 어업,03111,농림어업,1
연근해 어업,03112,농림어업,1
내수면 어업,03120,농림어업,1
해수면 양식 어업,03211,농림어업,1
내수면 양식 어업,03212,농림어업,1
수산물 부화 및 수산종자 생산업,03213,농림어업,1
어업 관련 서비스업,03220,농림어업,1
석탄 광업,05100,광업,2
원유 및 천연가스 채굴업,05200,광업,2
철 광업,06100,광업,2
비철금속 광업,06200,광업,2
석회석 및 점토광업,07110,광업,2
건설용 석재 채굴 및 쇄석 생산업,07121,광업,2
모래 및 자갈 채취업,07122,광업,2
화학용 및 비료원료용 광물 광업,07210,광업,2
천일염 생산 및 암염 채취업,07220,광업,2
그 외 기타 비금속 광물 광업,07290,광업,2
광업 지원 서비스업,08000,광업,2
육류 도축업(가금류 제외),10111,음식료,3
가금류 도축업,10112,음식료,3
가금류 가공 및 저장 처리업,10121,음식료,3
육류 포장육 및 냉동육 가공업(가금류 제외),10122,음식료,3
육류 기타 가공 및 저장처리업(가금류 제외),10129,음식료,3
"수산동물 훈제, 조리 및 유사 조제식품 제조업",10211,음식료,3
수산동물 건조 및 염장품 제조업,10212,음식료,3
수산동물 냉동품 제조업,10213,음식료,3
기타 수산동물 가공 및 저장처리업,10219,음식료,3
수산식물 가공 및 저장 처리업,10220,음식료,3
김치류 제조업,10301,음식료,3
과실 및 그 외 채소 절임식품 제조업,10302,음식료,3
기타 과실ㆍ채소 가공 및 저장처리업,10309,음식료,3
동물성 유지 제조업,10401,음식료,3
식물성 유지 제조업,10402,음식료,3
식용 정제유 및 가공유 제조업,10403,음식료,3
액상시유 및 기타 낙농제품 제조업,10501,음식료,3
아이스크림 및 기타 식용빙과류 제조업,10502,음식료,3
곡물 도정업,10611,음식료,3
곡물 제분업,10612,음식료,3
곡물 혼합 분말 및 반죽 제조업,10613,음식료,3
기타 곡물 가공품 제조업,10619,음식료,3
전분제품 및 당류 제조업,10620,음식료,3
떡류 제조업,10711,음식료,3
빵류 제조업,10712,음식료,3
과자류 및 코코아 제품 제조업,10713,음식료,3
설탕 제조업,10720,음식료,3
"면류, 마카로니 및 유사식품 제조업",10730,음식료,3
"식초, 발효 및 화학 조미료 제조업",10741,음식료,3
